severity	file	line	change_type	suggested_fix
BREAKING	.opencode/skills/system-spec-kit/mcp_server/tests/index-scope.vitest.ts	44	assertion	Change toBeGreaterThanOrEqual(3) to toBe(2); EXCLUDED_FOR_MEMORY now has 2 entries
BREAKING	.opencode/skills/system-spec-kit/mcp_server/tests/index-scope.vitest.ts	48-52	test-rewrite	Rename test to 'rejects z_future and external for memory indexing'; remove z_archive from rejection; add positive case: shouldIndexForMemory returns true for z_archive
BREAKING	.opencode/skills/system-spec-kit/mcp_server/tests/index-scope.vitest.ts	74-90	test-rewrite	Rename to 'skips z_future and external spec docs and graph metadata'; remove z_archive fixture from skip-list; add positive discovery assertion + getArchiveMultiplier=0.1 check
BREAKING	.opencode/skills/system-spec-kit/mcp_server/tests/full-spec-doc-indexing.vitest.ts	281-282	test-rewrite	Flip 'Rejects spec.md in /z_archive/' to 'Accepts spec.md in /z_archive/ with decay'; isMemoryFile true; getArchiveMultiplier returns 0.1
STALE-INVARIANT	.opencode/specs/system-spec-kit/026-graph-and-context-optimization/003-continuity-memory-runtime/010-memory-indexer-invariants/plan.md	81	prose-update	Remove z_archive from rejection list; note that z_archive is indexed and decay-penalized via ARCHIVE_MULTIPLIERS
STALE-INVARIANT	.opencode/specs/system-spec-kit/026-graph-and-context-optimization/003-continuity-memory-runtime/010-memory-indexer-invariants/checklist.md	73	prose-update	Reword 'memory exclusions for z_future, external, and z_archive' to remove z_archive; clarify z_archive is indexed with decay
STALE-INVARIANT	.opencode/specs/system-spec-kit/026-graph-and-context-optimization/003-continuity-memory-runtime/010-memory-indexer-invariants/implementation-summary.md	152	prose-update	Add post-113 clarification: z_archive is indexed; duplicated exclusion logic was the original bug, now resolved via shouldIndexForMemory SSOT
STALE-INVARIANT	.opencode/specs/system-spec-kit/026-graph-and-context-optimization/003-continuity-memory-runtime/010-memory-indexer-invariants/decision-record.md	125	post-script	Append post-script: Packet 113 (b062b12b4) confirmed z_archive should be indexed; decay multiplier handles deprioritization
STALE-INVARIANT	.opencode/specs/system-spec-kit/026-graph-and-context-optimization/003-continuity-memory-runtime/010-memory-indexer-invariants/review/005-memory-indexer-invariants-pt-01/iterations/iteration-001.md	27	post-script	Append: Per packet 113 (b062b12b4) z_archive was removed from EXCLUDED_FOR_MEMORY
STALE-DESCRIPTIVE	.opencode/commands/doctor/assets/doctor_update.yaml	314-316	comment-update	Distinguish z_future (outside graph traversal) from z_archive (indexed in memory with decay)
STALE-DESCRIPTIVE	.opencode/commands/doctor/assets/doctor_update.yaml	349	filter-fix	Remove -not -path '*/z_archive/*' from the find filter for legacy memory detection
STALE-DESCRIPTIVE	.opencode/skills/system-spec-kit/mcp_server/handlers/memory-save.ts	220	error-message	Remove z_archive from the list 'z_future/, z_archive/, or external/' in error recovery action
GAP-FIX	.opencode/skills/system-spec-kit/mcp_server/lib/utils/README.md	append	new-section	Append 'Index scope vs scoring decay' SSOT section: explain binary scope-exclusion vs multiplicative decay; z_archive is in decay tier; z_future + external are in scope-excluded tier
