000-release-cleanup/003-cleanup	021-sk-doc-conformance-sweep-and-template-cleanup	021-sk-doc-conformance-sweep
000-release-cleanup/006-research	001-automation-self-management-deep-research	001-automation-self-management-deep
006-skill-advisor/005-docs	001-skill-advisor-docs-and-code-alignment	001-docs-and-code-alignment
000-release-cleanup/006-research	002-automation-reality-supplemental-research	002-automation-reality-supplemental
006-skill-advisor/001-skill-graph/006-system-skill-advisor-extraction	002-scaffold-system-skill-advisor-package	002-scaffold-advisor-package
006-skill-advisor/001-skill-graph	002-skill-graph-daemon-and-advisor-unification	002-daemon-and-unification
000-release-cleanup/001-release-readiness	003-release-readiness-deep-review-program	003-deep-review-program
006-skill-advisor/003-router	003-smart-router-remediation-and-opencode-plugin	003-smart-remediation-and-opencode-plugin
000-release-cleanup/006-research	003-system-deep-research-bugs-and-improvements	003-system-deep-bugs-and-improvements
000-release-cleanup/001-release-readiness	004-release-readiness-synthesis-and-remediation	004-synthesis-and-remediation
003-continuity-memory-runtime	006-memory-search-clusters-4-7-remediation	006-search-clusters-4-7-remediation
008-template-levels	001-template-consolidation-investigation	001-consolidation-investigation
000-release-cleanup/005-stress-test	005-stress-test-expansion-and-alignment	005-expansion-and-alignment
014-local-embeddings-migration/032-substrate-repair-followups	005-substrate-stability-instrumentation	005-stability-instrumentation
